CITY,COLUMN,Expected Index,Moran's Index,Variance,p-value,threshold,z-score
muskogee-ok-micro-area,HINC000_W,-0.016666666666666666,0.0376315650538,0.00310348794175,0.329720574883,0.136275639956,0.974676859737
muskogee-ok-micro-area,HINC200_W,-0.016666666666666666,-0.0775327161913,0.00310348794175,0.274581742695,0.136275639956,-1.09257204398
muskogee-ok-micro-area,TOTHH,-0.016666666666666666,0.0261633380527,0.00310348794175,0.44200183639,0.136275639956,0.76881720048
decatur-il-metro-area,AVGHINC,-0.01020408163265306,0.0538012738673,0.00122226775834,0.0671352897126,0.0936861717969,1.83076725545
decatur-il-metro-area,CENSUSAREA,-0.01020408163265306,0.265649590151,0.00122226775834,3.10862446895e-15,0.0936861717969,7.89033770148
decatur-il-metro-area,DKL(y|n),-0.01020408163265306,0.0531902010038,0.00122226775834,0.0697873318128,0.0936861717969,1.81328852761
decatur-il-metro-area,Density,-0.01020408163265306,0.178800417575,0.00122226775834,6.43899691344e-08,0.0936861717969,5.40616086857
decatur-il-metro-area,HINC000_W,-0.01020408163265306,0.0322467436897,0.00122226775834,0.224657771357,0.0936861717969,1.21423559576
decatur-il-metro-area,HINC200_W,-0.01020408163265306,-0.0344482790362,0.00122226775834,0.488017695957,0.0936861717969,-0.693465138885
decatur-il-metro-area,TOTHH,-0.01020408163265306,0.0253011309877,0.00122226775834,0.309835225687,0.0936861717969,1.01556784046
duncan-ok-micro-area,AVGHINC,-0.029411764705882353,-0.00567893834748,0.00444731658997,0.72193236338,0.152584782608,0.355877424126
duncan-ok-micro-area,CENSUSAREA,-0.029411764705882353,0.369829687643,0.00444731658997,2.14157425127e-09,0.152584782608,5.98668770084
duncan-ok-micro-area,DKL(y|n),-0.029411764705882353,-0.0275952129786,0.00444731658997,0.978268730234,0.152584782608,0.0272394758096
duncan-ok-micro-area,Density,-0.029411764705882353,0.0907356744277,0.00444731658997,0.0716037096581,0.152584782608,1.80162954502
duncan-ok-micro-area,HINC000_W,-0.029411764705882353,-0.0759924847029,0.00444731658997,0.484873845077,0.152584782608,-0.698485144421
duncan-ok-micro-area,HINC200_W,-0.029411764705882353,-0.00473517875873,0.00444731658997,0.711360699413,0.152584782608,0.37002924601
duncan-ok-micro-area,TOTHH,-0.029411764705882353,0.0798978772744,0.00444731658997,0.101189292857,0.152584782608,1.63911509032
rochelle-il-micro-area,AVGHINC,-0.023255813953488372,0.0777381411095,0.00722092346795,0.23463667054,0.101696097032,1.18849951562
rochelle-il-micro-area,CENSUSAREA,-0.023255813953488372,-0.0321217832966,0.00722092346795,0.916903535168,0.101696097032,-0.10433496008
rochelle-il-micro-area,DKL(y|n),-0.023255813953488372,-0.064152485659,0.00722092346795,0.630322408122,0.101696097032,-0.481273106713
rochelle-il-micro-area,Density,-0.023255813953488372,-0.000958969922051,0.00722092346795,0.793020900123,0.101696097032,0.262389846151
rochelle-il-micro-area,HINC000_W,-0.023255813953488372,-0.0170060172502,0.00722092346795,0.941370230624,0.101696097032,0.0735477717447
rochelle-il-micro-area,HINC200_W,-0.023255813953488372,-0.0374521853791,0.00722092346795,0.867320264694,0.101696097032,-0.16706327178
rochelle-il-micro-area,TOTHH,-0.023255813953488372,-0.00915108032604,0.00722092346795,0.868168852456,0.101696097032,0.165984875765
richmond-berea-ky-micro-area,AVGHINC,-0.016129032258064516,,0.00408005840085,,0.0949727748117,
richmond-berea-ky-micro-area,CENSUSAREA,-0.016129032258064516,0.228715543716,0.00408005840085,0.00012650602048,0.0949727748117,3.83316309166
richmond-berea-ky-micro-area,DKL(y|n),-0.016129032258064516,,0.00408005840085,,0.0949727748117,
richmond-berea-ky-micro-area,Density,-0.016129032258064516,0.138443253383,0.00408005840085,0.015524533239,0.0949727748117,2.4199056808
richmond-berea-ky-micro-area,HINC000_W,-0.016129032258064516,,0.00408005840085,,0.0949727748117,
richmond-berea-ky-micro-area,HINC200_W,-0.016129032258064516,,0.00408005840085,,0.0949727748117,
richmond-berea-ky-micro-area,TOTHH,-0.016129032258064516,-0.0387943901913,0.00408005840085,0.72271140574,0.0949727748117,-0.354837403048
woodward-ok-micro-area,AVGHINC,-0.05555555555555555,-0.138200222407,0.0090141562698,0.384045267012,0.162700123234,-0.870466961089
woodward-ok-micro-area,CENSUSAREA,-0.05555555555555555,-0.107315369052,0.0090141562698,0.585638145792,0.162700123234,-0.545167755858
woodward-ok-micro-area,DKL(y|n),-0.05555555555555555,0.00804758143337,0.0090141562698,0.50291562281,0.162700123234,0.669909281262
woodward-ok-micro-area,Density,-0.05555555555555555,0.0623749172303,0.0090141562698,0.214192349901,0.162700123234,1.24211983878
woodward-ok-micro-area,HINC000_W,-0.05555555555555555,-0.250139000934,0.0090141562698,0.0404153569319,0.162700123234,-2.04947840956
woodward-ok-micro-area,HINC200_W,-0.05555555555555555,-0.0959050644776,0.0090141562698,0.670846104085,0.162700123234,-0.424987065118
